,ID,decimalLatitude,decimalLongitude,species,tangle,tlength,pangle,plength,langle,llength,wangle,wlength,bangle,blength,tipangle,tiplength,length_by_width,petiole_by_total
76,10311516,,,exaltata,0.0,1324.0,131.73,198.313,-57.578,2506.749,32.879,862.09,47.946000000000005,0.0,49.696000000000005,0.0,2.907757891,0.073311813
77,10387019,,,exaltata,-0.436,1052.03,0.0,152.0,-178.18200000000002,1512.7620000000002,-90.0,576.0,62.816,0.0,49.938,0.0,2.626322917,0.09130434300000001
78,10387030,,,exaltata,0.0,1048.0,125.75399999999999,123.223,-59.717,1848.1989999999998,30.53,543.323,42.081,0.0,35.86,0.0,3.4016579460000003,0.062504629
79,10397666,,,exaltata,-0.513,1341.0539999999999,126.656,160.80100000000002,-47.63399999999999,2493.063,39.313,1027.5339999999999,57.726000000000006,0.0,57.426,0.0,2.426258401,0.060591274
80,11095523,,,exaltata,89.79299999999999,1108.007,36.158,128.81,-169.611,1708.0,-81.54899999999999,707.684,77.895,0.0,47.986000000000004,0.0,2.413506593,0.070127014
81,11095524,,,exaltata,90.0,1104.0,55.176,112.071,-128.25799999999998,1782.9229999999998,-40.298,655.573,72.10600000000001,0.0,46.715,0.0,2.7196406810000004,0.059140557
82,11102827,,,exaltata,-139.028,1207.894,45.0,203.64700000000002,-143.352,3096.0229999999997,-50.066,1369.358,75.111,0.0,51.403999999999996,0.0,2.260930305,0.06171738400000001
83,11163256,,,exaltata,126.62299999999999,1300.812,-66.801,182.77900000000002,113.741,1996.9979999999998,26.928,847.934,65.32600000000001,0.0,53.6,0.0,2.355133772,0.083852156
84,11250939,,,exaltata,-68.694,1288.031,91.975,232.138,-86.041,2317.53,5.675,647.172,52.041000000000004,0.0,35.814,0.0,3.5810109210000003,0.091046364
85,11250956,,,exaltata,-118.84899999999999,1301.531,118.811,182.60299999999998,-63.193000000000005,2536.618,30.713,939.821,58.293,0.0,48.07,0.0,2.699043754,0.067152688
86,11257064,,,exaltata,0.0,1344.0,62.354,189.65200000000002,-123.764,2569.373,-31.44,1073.618,65.993,0.0,50.891999999999996,0.0,2.393191061,0.068738775
87,11257066,,,exaltata,0.0,1344.0,-59.036,104.95700000000001,135.87,1676.036,-137.839,513.99,48.498000000000005,0.0,33.941,0.0,3.260833868,0.058931730999999994
